Wikipedia link,Office,State,Start office date,End office date
https://en.wikipedia.org/wiki/Duke_Xuan_of_Lu,Duke of Lu,Lu,-608,-591
https://en.wikipedia.org/wiki/Duke_Cheng_of_Lu,Duke of Lu,Lu,-590,-573
https://en.wikipedia.org/wiki/Duke_Xiang_of_Lu,Duke of Lu,Lu,-572,-542
https://en.wikipedia.org/wiki/Ziye,Duke of Lu,Lu,-542,-542
https://en.wikipedia.org/wiki/Duke_Zhao_of_Lu,Duke of Lu,Lu,-541,-510
https://en.wikipedia.org/wiki/Duke_Ding_of_Lu,Duke of Lu,Lu,-509,-495
https://en.wikipedia.org/wiki/Duke_Ai_of_Lu,Duke of Lu,Lu,-494,-467
https://en.wikipedia.org/wiki/Duke_Dao_of_Lu,Duke of Lu,Lu,-466,-429
https://en.wikipedia.org/wiki/Duke_Yuan_of_Lu,Duke of Lu,Lu,-428,-408
https://en.wikipedia.org/wiki/Duke_Mu_of_Lu,Duke of Lu,Lu,-407,-377
https://en.wikipedia.org/wiki/Duke_Gong_of_Lu,Duke of Lu,Lu,-376,-353
https://en.wikipedia.org/wiki/Duke_Kang_of_Lu,Duke of Lu,Lu,-352,-344
https://en.wikipedia.org/wiki/Duke_Jing_of_Lu,Duke of Lu,Lu,-343,-323
https://en.wikipedia.org/wiki/Duke_Ping_of_Lu,Duke of Lu,Lu,-322,-303
https://en.wikipedia.org/wiki/Duke_Wen_II_of_Lu,Duke of Lu,Lu,-302,-278
https://en.wikipedia.org/wiki/Duke_Qing_of_Lu,Duke of Lu,Lu,-277,-249
https://en.wikipedia.org/wiki/Weizi_of_Song,Duke of Song,Song,,
Weizhong,Duke of Song,Song,,
Ji, Duke of Song,Duke of Song,Song,,
Duke Ding of Song,Duke of Song,Song,,
Duke Min I of Song,Duke of Song,Song,,
Duke Yang of Song,Duke of Song,Song,,
Duke Li of Song,Duke of Song,Song,,
Duke Xi of Song,Duke of Song,Song,-859,-831
Duke Hui of Song,Duke of Song,Song,-830,-800
Duke Ai of Song,Duke of Song,Song,-799,-799
Duke Dai of Song,Duke of Song,Song,-799,-766
Duke Wu of Song,Duke of Song,Song,-765,-748
Duke Xuan of Song,Duke of Song,Song,-747,-729
Duke Mu of Song,Duke of Song,Song,-728,-720
Duke Shang of Song,Duke of Song,Song,-719,-711
Duke Zhuang of Song,Duke of Song,Song,-710,-692
Duke Min II of Song,Duke of Song,Song,-691,-682
You, Duke of Song,Duke of Song,Song,,
Duke Huan I of Song,Duke of Song,Song,-681,-651
https://en.wikipedia.org/wiki/Duke_Xiang_of_Song,Duke of Song,Song,-650,-637
Duke Cheng of Song,Duke of Song,Song,-636,-620
Yu, Duke of Song,Duke of Song,Song,,
Duke Zhao I of Song,Duke of Song,Song,-619,-611
Duke Wen of Song,Duke of Song,Song,-610,-589
Duke Gong of Song,Duke of Song,Song,-588,-576
Duke Ping of Song,Duke of Song,Song,-575,-532
Duke Yuan of Song,Duke of Song,Song,-531,-517
Duke Jing of Song,Duke of Song,Song,-516,-451
Duke Zhao II of Song,Duke of Song,Song,-450,-404
Duke Dao of Song,Duke of Song,Song,-403,-396
Duke Xiu of Song,Duke of Song,Song,-395,-373
Duke Huan II of Song,Duke of Song,Song,-372,-370
Lord Ticheng of Song,Duke of Song,Song,-369,-329
https://en.wikipedia.org/wiki/Yan,_King_of_Song,King of Song,Song,-328,-286
https://en.wikipedia.org/wiki/Duke_Huan_of_Zheng,Duke of Zheng,Zheng,-806,-771
https://en.wikipedia.org/wiki/Duke_Wu_of_Zheng,Duke of Zheng,Zheng,-770,-744
https://en.wikipedia.org/wiki/Duke_Zhuang_of_Zheng,Duke of Zheng,Zheng,-743,-701
https://en.wikipedia.org/wiki/Duke_Zhao_of_Zheng,Duke of Zheng,Zheng,-701,-701
https://en.wikipedia.org/wiki/Duke_Li_of_Zheng,Duke of Zheng,Zheng,-700,-697
Duke Zhao of Zheng (second reign),Duke of Zheng,Zheng,-696,-695
https://en.wikipedia.org/wiki/Zheng-zi_Wei,Duke of Zheng,Zheng,-694,-694
https://en.wikipedia.org/wiki/Zheng-zi_Ying,Duke of Zheng,Zheng,-693,-680
Duke Li of Zheng (second reign),Duke of Zheng,Zheng,-679,-673
https://en.wikipedia.org/wiki/Duke_Wen_of_Zheng,Duke of Zheng,Zheng,-672,-628
https://en.wikipedia.org/wiki/Duke_Mu_of_Zheng,Duke of Zheng,Zheng,-627,-606
https://en.wikipedia.org/wiki/Duke_Ling_of_Zheng,Duke of Zheng,Zheng,-605,-605
https://en.wikipedia.org/wiki/Duke_Xiang_of_Zheng,Duke of Zheng,Zheng,-604,-587
https://en.wikipedia.org/wiki/Duke_Dao_of_Zheng,Duke of Zheng,Zheng,-586,-585
https://en.wikipedia.org/wiki/Duke_Cheng_of_Zheng,Duke of Zheng,Zheng,-584,-581
https://en.wikipedia.org/wiki/Prince_Xu_of_Zheng,Duke of Zheng,Zheng,-581,-581
https://en.wikipedia.org/wiki/Duke_Xi_of_Zheng,Duke of Zheng,Zheng,-581,-581
Duke Cheng of Zheng (second reign),Duke of Zheng,Zheng,-581,-571
Duke Xi of Zheng (second reign),Duke of Zheng,Zheng,-570,-566
https://en.wikipedia.org/wiki/Duke_Jian_of_Zheng,Duke of Zheng,Zheng,-565,-530
https://en.wikipedia.org/wiki/Duke_Ding_of_Zheng,Duke of Zheng,Zheng,-529,-514
https://en.wikipedia.org/wiki/Duke_Xian_of_Zheng,Duke of Zheng,Zheng,-513,-501
https://en.wikipedia.org/wiki/Duke_Sheng_of_Zheng,Duke of Zheng,Zheng,-500,-463
https://en.wikipedia.org/wiki/Duke_Ai_of_Zheng,Duke of Zheng,Zheng,-462,-455
https://en.wikipedia.org/wiki/Duke_Gong_of_Zheng,Duke of Zheng,Zheng,-455,-424
https://en.wikipedia.org/wiki/Duke_You_of_Zheng,Duke of Zheng,Zheng,-423,-423
https://en.wikipedia.org/wiki/Duke_Xu_of_Zheng,Duke of Zheng,Zheng,-422,-396
https://en.wikipedia.org/wiki/Duke_Kang_of_Zheng,Duke of Zheng,Zheng,-395,-375
https://en.wikipedia.org/wiki/Shoumeng,Ruler of Wu,Wu,-586,-561
https://en.wikipedia.org/wiki/Zhufan_(State_of_Wu),Ruler of Wu,Wu,-561,-548
https://en.wikipedia.org/wiki/Yuji_(State_of_Wu),Ruler of Wu,Wu,-548,-531
Yumei,Ruler of Wu,Wu,-531,-527
https://en.wikipedia.org/wiki/King_Liao_of_Wu,King of Wu,Wu,-527,-515
https://en.wikipedia.org/wiki/King_Hel%C3%BC_of_Wu,King of Wu,Wu,-515,-496
Fugai,King of Wu,Wu,-505,-505
https://en.wikipedia.org/wiki/King_Fuchai_of_Wu,King of Wu,Wu,-496,-473
https://en.wikipedia.org/wiki/Marquis_Wuyu_of_Yue,Marquis of Yue,Yue,,
https://en.wikipedia.org/wiki/Marquis_Wuren_of_Yue,Marquis of Yue,Yue,,
